ResponseId,Predicted_Q48,Actual_Q48,LLM_Raw,MAE,RMSE,MAE_overall,RMSE_overall
R_5qmasjuAgft58Xm,4,4,"{""star_rating"": 4}",0,0.0,0.589873417721519,0.7680321723219146
R_7P257DA4egHutjb,5,4,"{""star_rating"": 5}",1,1.0,0.589873417721519,0.7680321723219146
R_1P7QlyeAcbT45hd,1,1,"{""star_rating"": 1}",0,0.0,0.589873417721519,0.7680321723219146
R_3I02wi8Li2t4Dex,4,3,"{""star_rating"": 4}",1,1.0,0.589873417721519,0.7680321723219146
R_60jzx5GFEONyW5P,1,1,"{""star_rating"": 1}",0,0.0,0.589873417721519,0.7680321723219146
R_5M76JHKCMVQXujT,4,4,"{""star_rating"": 4}",0,0.0,0.589873417721519,0.7680321723219146
R_16bdABg87BC0etD,5,3,"{""star_rating"": 5}",2,2.0,0.589873417721519,0.7680321723219146
R_3HdHCYckI8rOzXF,1,1,"{""star_rating"": 1}",0,0.0,0.589873417721519,0.7680321723219146
R_3oHofAFvkEnh6FJ,1,1,"{""star_rating"": 1}",0,0.0,0.589873417721519,0.7680321723219146
R_3sslizkKxrOLsIZ,4,4,"{""star_rating"": 4}",0,0.0,0.589873417721519,0.7680321723219146
R_5HCvgsNx7KUXgy7,2,2,"{""star_rating"": 2}",0,0.0,0.589873417721519,0.7680321723219146
R_1kHHb6MDAcOaIFz,1,1,"{""star_rating"": 1}",0,0.0,0.589873417721519,0.7680321723219146
R_6gkFT06bjGPLZWs,1,1,"{""star_rating"": 1}",0,0.0,0.589873417721519,0.7680321723219146
R_3qKdnILIh49k1iv,5,4,"{""star_rating"": 5}",1,1.0,0.589873417721519,0.7680321723219146
R_75NLZV0KiSLpz6K,5,3,"{""star_rating"": 5}",2,2.0,0.589873417721519,0.7680321723219146
R_1WVACUz2HlKFAtj,5,4,"{""star_rating"": 5}",1,1.0,0.589873417721519,0.7680321723219146
R_6Ux1uRaVxiB5HKp,4,3,"{""star_rating"": 4}",1,1.0,0.589873417721519,0.7680321723219146
R_34Zz1OJGD2lJMGZ,2,2,"{""star_rating"": 2}",0,0.0,0.589873417721519,0.7680321723219146
R_3E3WZpn7CFVQd3L,1,1,"{""star_rating"": 1}",0,0.0,0.589873417721519,0.7680321723219146
R_5JQoB98P6aaYLI9,1,1,"{""star_rating"": 1}",0,0.0,0.589873417721519,0.7680321723219146
R_6TLZFQhCQx7wGLn,1,1,"{""star_rating"": 1}",0,0.0,0.589873417721519,0.7680321723219146
R_6hEkyvotXPwXzzp,5,4,"{""star_rating"": 5}",1,1.0,0.589873417721519,0.7680321723219146
R_5e9MUAnJX3j6XrI,5,4,"{""star_rating"": 5}",1,1.0,0.589873417721519,0.7680321723219146
R_1rTakXTPBvMK5o5,5,4,"{""star_rating"": 5}",1,1.0,0.589873417721519,0.7680321723219146
R_7r8RBgbq8uOGZDB,5,4,"{""star_rating"": 5}",1,1.0,0.589873417721519,0.7680321723219146
R_3Pv2THMHrUqdrJH,1,1,"{""star_rating"": 1}",0,0.0,0.589873417721519,0.7680321723219146
R_1GGEIb6g9UUqmSR,5,3,"{""star_rating"": 5}",2,2.0,0.589873417721519,0.7680321723219146
R_3eDZ7LbHL3rj5Jk,2,2,"{""star_rating"": 2}",0,0.0,0.589873417721519,0.7680321723219146
R_5BsKkhTNweCkS40,1,1,"{""star_rating"": 1}",0,0.0,0.589873417721519,0.7680321723219146
R_3qVareY9Fg7z5I9,5,3,"{""star_rating"": 5}",2,2.0,0.589873417721519,0.7680321723219146
R_5lYuW9XpQKobzMj,5,4,"{""star_rating"": 5}",1,1.0,0.589873417721519,0.7680321723219146
R_3GJpQzxkbnU0qKi,2,2,"{""star_rating"": 2}",0,0.0,0.589873417721519,0.7680321723219146
